doc_id,grupo,texto
1,situacao,"A reforma da praca central vai gerar emprego e lazer para as familias do bairro. Precisamos aprovar o projeto ainda este semestre."
2,situacao,"O investimento em area verde melhora a qualidade de vida e valoriza os imoveis da regiao. E uma prioridade da gestao."
3,situacao,"Os recursos ja estao garantidos em orcamento. Atrasar a obra so aumenta o custo para o municipio."
4,situacao,"A populacao pediu esse espaco de convivencia em todas as audiencias publicas dos ultimos dois anos."
5,situacao,"Vamos manter a transparencia: o edital e a planilha de custos estarao disponiveis no site da prefeitura."
6,situacao,"Essa e uma obra estruturante, nao um gasto supersuo. O retorno social justifica o investimento."
7,situacao,"Convido a oposicao a visitar o terreno antes de criticar um projeto que ainda nem comecou."
8,situacao,"O parque tera acessibilidade completa, algo que o bairro nunca teve em nenhum espaco publico."
9,oposicao,"O projeto da praca custa tres vezes mais do que obras semelhantes em municipios vizinhos."
10,oposicao,"Faltam recursos para saude e educacao, e o governo prioriza uma reforma de paisagismo."
11,oposicao,"Nao houve licitacao competitiva. O processo precisa ser suspenso ate a investigacao terminar."
12,oposicao,"A populacao que consultamos pede posto de saude, nao banco de praca."
13,oposicao,"Esse tipo de obra so aparece em ano eleitoral. Coincidencia que ninguem acredita."
14,oposicao,"O estudo de impacto ambiental nem foi concluido e ja querem votar a liberacao da verba."
15,oposicao,"Pedimos vista do processo. Documentos essenciais nao foram entregues aos vereadores."
16,oposicao,"Se sobra dinheiro para praca, sobra dinheiro para reajustar a merenda escolar primeiro."
